shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
10157,43.7783727774,-79.6555382145,240008
10157,43.7785386806,-79.6550225216,240009
10157,43.7779739612,-79.6547009105,240010
10157,43.7779739612,-79.6547009105,250001
10157,43.7762335686,-79.6537098128,250002
10157,43.7762335686,-79.6537098128,260001
10157,43.7737507845,-79.6522968184,260002
10157,43.773299322,-79.652036083,260003
10157,43.7731660787,-79.651960796,260004
10157,43.7731660787,-79.651960796,270001
10157,43.7686445428,-79.6493811546,270002
10157,43.7671153357,-79.6485123296,270003
10157,43.7669375457,-79.6496195994,270004
10181,43.6867024011,-79.7629456618,10001
10181,43.6867024011,-79.7629456618,10002
10181,43.6867024011,-79.7629456618,20001
10181,43.6866313929,-79.7630401783,20002
10181,43.6862924136,-79.7625843442,20003
10181,43.6866447248,-79.7621924652,20004
10181,43.6868021909,-79.7620167606,20005
10181,43.6869749061,-79.7618357783,20006
10181,43.6871547419,-79.7616472038,20007
10181,43.6872473128,-79.7614653871,20008
10181,43.6872910855,-79.7613503352,20009
10181,43.6873285971,-79.7612391342,20010
10181,43.6874064792,-79.7607821665,20011
10181,43.6874759226,-79.7603774841,20012
10181,43.687517233,-79.7601185514,20013
10181,43.6875191768,-79.7598827635,20014
10181,43.6874768358,-79.7596317582,20015
10181,43.6873999121,-79.7594298563,20016
10181,43.6873326228,-79.7592860728,20017
10181,43.6870345366,-79.7587003714,20018
10181,43.6873566589,-79.7583487924,20019
10181,43.6874589946,-79.7582374928,20020
10181,43.6874589946,-79.7582374928,30001
10181,43.6883043174,-79.7573130307,30002
10181,43.6885401289,-79.7570562793,30003
10181,43.6891950155,-79.7563392131,30004
10181,43.6891950155,-79.7563392131,40001
10181,43.6893151368,-79.756207686,40002
10181,43.6896043763,-79.7558964661,40003
10181,43.6902958656,-79.7551513187,40004
10181,43.690776931,-79.7547616688,40005
10181,43.6910224006,-79.7545654984,40006
10181,43.6910481951,-79.754536425,40007
10181,43.6910481951,-79.754536425,50001
10181,43.6918194743,-79.7536779133,50002
10181,43.692061443,-79.7534085961,50003
10181,43.6927636903,-79.7526606844,50004
10181,43.6927636903,-79.7526606844,60001
10181,43.692836666,-79.7525822366,60002
10181,43.6935315434,-79.7518195674,60003
10181,43.6935315434,-79.7518195674,70001
10181,43.6937219473,-79.7516108683,70002
10181,43.6940395456,-79.7512593053,70003
10181,43.6946392197,-79.7506015791,70004
10181,43.6954097574,-79.7497603533,70005
10181,43.6956327447,-79.7494851938,70006
10181,43.6960552406,-79.7490110548,70007
10181,43.6960552406,-79.7490110548,80001
10181,43.6973822939,-79.7475203447,80002
10181,43.6973822939,-79.7475203447,90001
10181,43.6988525271,-79.7458689754,90002
10181,43.69912196,-79.7455605504,90003
10181,43.69912196,-79.7455605504,100001
10181,43.6999747444,-79.7445871713,100002
10181,43.6999747444,-79.7445871713,110001
10181,43.7006532121,-79.7438110086,110002
10181,43.7015661291,-79.7428214299,110003
10181,43.7015661291,-79.7428214299,120001
10181,43.7018099258,-79.7425569506,120002
10181,43.7032852383,-79.7408828897,120003
10181,43.7032852383,-79.7408828897,130001
10181,43.7035555707,-79.7405756416,130002
10181,43.7045064679,-79.7395218716,130003
10181,43.7052198694,-79.7387324481,130004
10181,43.7054039604,-79.7385250397,130005
10181,43.7054332965,-79.7384909135,130006
10181,43.7057116553,-79.7381772692,130007
10181,43.7058913129,-79.7379761562,130008
10181,43.7066739434,-79.737097119,130009
10181,43.7082172965,-79.7353952901,130010
10181,43.7090381053,-79.7344694561,130011
10181,43.7081827671,-79.7331717789,130012
10181,43.7081827671,-79.7331717789,140001
10181,43.7079400932,-79.732804531,140002
10181,43.7074083235,-79.7320250987,140003
10181,43.7057121433,-79.7295251824,140004
10181,43.7057121433,-79.7295251824,150001
10181,43.7043472865,-79.7275136028,150002
10181,43.7047670979,-79.7270492255,150003
10181,43.7047670979,-79.7270492255,160001
10181,43.7060194434,-79.7256673747,160002
10181,43.7065071757,-79.7251580907,160003
10181,43.7065071757,-79.7251580907,170001
10181,43.7066326745,-79.7250275899,170002
10181,43.706912463,-79.7248454115,170003
10181,43.7071328397,-79.724745168,170004
10181,43.7072771169,-79.7246837731,170005
10181,43.7075161339,-79.7246402278,170006
10181,43.7078316656,-79.7245950596,170007
10181,43.7088944797,-79.7243850961,170008
10181,43.7092605036,-79.7241849422,170009
10181,43.7092605036,-79.7241849422,180001
10181,43.7095092833,-79.7240480939,180002
10181,43.709778794,-79.7238326067,180003
10181,43.7107395136,-79.7226243364,180004
10181,43.711258109,-79.7218971093,180005
10181,43.7115097209,-79.7216112339,180006
10181,43.7115097209,-79.7216112339,190001
10181,43.7116484263,-79.721454367,190002
10181,43.711957773,-79.7211784316,190003
10181,43.712359834,-79.7208198372,190004
10181,43.7128546253,-79.7204605061,190005
10181,43.7132705927,-79.7202182885,190006
10181,43.7132705927,-79.7202182885,200001
10181,43.7133063772,-79.7201976659,200002
10181,43.7136837338,-79.7199649558,200003
10181,43.7137748979,-79.719904673,200004
10181,43.7144889626,-79.7194276947,200005
10181,43.7149130529,-79.7191070855,200006
10181,43.7152411119,-79.7187338986,200007
10181,43.7155130529,-79.7183345941,200008
10181,43.7156445754,-79.7180996566,200009
10181,43.7156445754,-79.7180996566,210001
10181,43.7156931103,-79.7180117267,210002
10181,43.716463612,-79.715745927,210003
10181,43.7167050686,-79.7154391141,210004
10181,43.7173142293,-79.7164452816,210005
10181,43.7173142293,-79.7164452816,220001
10181,43.7178931325,-79.7174037001,220002
10181,43.7174928467,-79.7178392798,220003
10181,43.7174928467,-79.7178392798,230001
10181,43.716935122,-79.7184470383,230002
10181,43.7176171639,-79.7196118282,230003
10181,43.7176171639,-79.7196118282,240001
10181,43.7183836351,-79.7209200933,240002
10181,43.7185961364,-79.7206797026,240003
10181,43.7186328101,-79.7207385103,240004
10181,43.7186896626,-79.7208304071,240005
10181,43.7188301113,-79.7210707377,240006
10181,43.7193414995,-79.7205049375,240007
10181,43.719324963,-79.720475495,240008
10181,43.7192083066,-79.7202694174,240009
10181,43.7187394887,-79.7207772072,240010
10181,43.7187394887,-79.7207772072,250001
10181,43.7187394887,-79.7207772072,250002
10181,43.7187394887,-79.7207772072,260001
10181,43.7186896626,-79.7208304071,260002
10181,43.7188301113,-79.7210707377,260003
10181,43.7189414207,-79.721281895,260004
10181,43.719562875,-79.7205747121,260005
10181,43.7197333129,-79.7205983965,260006
10181,43.7195322151,-79.7202488665,260007
10181,43.7192916443,-79.7198319004,260008
10181,43.7178931325,-79.7174037001,260009
10181,43.7191481086,-79.7160262499,260010
10181,43.719217764,-79.7159751049,260011
10181,43.719217764,-79.7159751049,270001
10181,43.7202626478,-79.715212881,270002
10181,43.7208238225,-79.7146732649,270003
10181,43.7210935226,-79.7143161622,270004
10181,43.7210935226,-79.7143161622,280001
10181,43.7216071777,-79.7136347766,280002
10181,43.7218914741,-79.7140147951,280003
10181,43.7218914741,-79.7140147951,290001
10181,43.7225697582,-79.7149214775,290002
10181,43.7231728407,-79.715706877,290003
10181,43.7237733011,-79.7164997974,290004
10181,43.7240018417,-79.7168065413,290005
10181,43.7240018417,-79.7168065413,300001
10181,43.7244772304,-79.7174469593,300002
10181,43.7250864052,-79.7167709714,300003
10181,43.7250864052,-79.7167709714,310001
10181,43.7257071385,-79.716082307,310002
10181,43.7275639529,-79.7140200677,310003
10181,43.7281313015,-79.7133896031,310004
10181,43.7286790386,-79.7127769294,310005
10181,43.7286790386,-79.7127769294,320001
10181,43.7300039176,-79.7112958155,320002
10181,43.7314754675,-79.7096488258,320003
10181,43.7324490883,-79.7085600526,320004
10181,43.7332421972,-79.7076725603,320005
10181,43.7340681974,-79.706748326,320006
10181,43.7346512426,-79.7060764074,320007
10181,43.7346512426,-79.7060764074,330001
10181,43.7362821382,-79.7041959938,330002
10181,43.7362821382,-79.7041959938,340001
10181,43.73848713,-79.7016535996,340002
10181,43.73848713,-79.7016535996,350001
10181,43.7387946356,-79.7012992398,350002
10181,43.740342793,-79.6995134956,350003
10181,43.7404920982,-79.6993413689,350004
10181,43.7404920982,-79.6993413689,360001
10181,43.7435545663,-79.6958100604,360002
10181,43.744019212,-79.69526221,360003
10181,43.744019212,-79.69526221,370001
10181,43.746157567,-79.69273675,370002
10181,43.7466150527,-79.6921939754,370003
